,director_name,genres,actor_1_name,movie_title,imdb_score,plot_keywords,plot_keywords_vector,movie_id
477,Henry Jaglom,Drama|Romance,Vanessa Redgrave,Déjà Vu ,7.0,american|love|pin|ruby|stranger,,
478,Genndy Tartakovsky,Animation|Comedy|Family|Fantasy,Steve Buscemi,Hotel Transylvania 2 ,6.7,california|dracula|hotel|transylvania|vampire,,
480,James Algar,Animation|Family|Fantasy|Music,Quincy Jones,Fantasia 2000 ,7.3,abstract|ark|disney|fairy tale|piano,,
481,Simon Wells,Action|Adventure|Sci-Fi,Mark Addy,The Time Machine ,5.9,hunter|scientist|time machine|time travel|time travel romance,,
482,Ron Underwood,Action|Adventure|Family|Fantasy|Thriller,Charlize Theron,Mighty Joe Young ,5.6,animal|california|gorilla|hunter|poacher,,
483,Dominic Sena,Action|Crime|Thriller,Hugh Jackman,Swordfish ,6.5,computer|secret agent|terrorism|told in flashback|wearing a sound wire,,
484,Martin Campbell,Action|Adventure|Western,Michael Emerson,The Legend of Zorro ,5.9,california|fight|hero|mask|zorro,,
485,Vincent Ward,Drama|Fantasy|Romance,Robin Williams,What Dreams May Come ,7.0,heaven|hell|soul|soul mate|suicide,,
486,Steven Brill,Comedy|Fantasy,Adam Sandler,Little Nicky ,5.3,angel|devil|flask|hell|the devil,,
487,Terry Gilliam,Action|Adventure|Comedy|Fantasy|Thriller,Matt Damon,The Brothers Grimm ,5.9,creature|curse|exorcism|girl|village,,
488,Tim Burton,Action|Comedy|Sci-Fi,Natalie Portman,Mars Attacks! ,6.3,alien|general|martian|president|weapon,,
489,Lucile Hadzihalilovic,Drama|Horror|Mystery|Sci-Fi,Nissim Renard,Evolution ,6.4,boy|giving birth|nurse|sea|ultrasonography,,
490,Lee Tamahori,Action|Adventure|Drama|Thriller,Anthony Hopkins,The Edge ,6.9,bear|billionaire|crash|survival tactics|wilderness,,
491,Jonathan Mostow,Action|Sci-Fi|Thriller,Bruce Willis,Surrogates ,6.3,android|fbi agent|future|murder|robot,,
492,Roger Donaldson,Drama|History|Thriller,Bruce Greenwood,Thirteen Days ,7.3,blockade|crisis|cuba|missile|president,,
493,Rob Cohen,Action|Adventure|Drama|Thriller,Sylvester Stallone,Daylight ,5.8,collapsing tunnel|explosion|new jersey|tunnel|weimaraner,,
494,Barry Cook,Adventure|Animation|Family,Charlie Rowe,Walking with Dinosaurs 3D ,5.2,brother|dinosaur|head butt|hero|orphan,,
495,Roger Christian,Action|Adventure|Sci-Fi,Richard Tyson,Battlefield Earth ,2.4,alien|bad acting|pulp fiction|resistance fighter|voyager golden record,,
496,Joe Dante,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Brendan Fraser,Looney Tunes: Back in Action ,5.7,diamond|duck|monkey|spy|stuntman,,
497,Rob Marshall,Drama|Musical|Romance,Fergie,Nine ,5.8,based on stage musical based on film|child abuse|film director|italian|mistress,,
498,Richard Donner,Action|Adventure|Sci-Fi,Paul Walker,Timeline ,5.6,castle|france|professor|student|time machine,,
499,Kevin Costner,Action|Adventure|Drama|Sci-Fi,Olivia Williams,The Postman ,6.0,drifter|escape|hope|postman|usa,,
500,George Miller,Adventure|Comedy|Drama|Family|Fantasy,Adam Goldberg,Babe: Pig in the City ,5.8,animal|farm|farmer|hotel|pig,,
501,Breck Eisner,Action|Adventure|Fantasy,Vin Diesel,The Last Witch Hunter ,6.0,box office flop|burned to death|magic|witch|witch hunter,,
502,Antony Hoffman,Action|Sci-Fi|Thriller,Bob Neill,Red Planet ,5.7,astronaut|mars|robot|robot as menace|survival,,
503,Luc Besson,Adventure|Animation|Family|Fantasy,Mia Farrow,Arthur and the Invisibles ,6.0,boy|debt|garden|princess|treasure,,
504,Jacques Perrin,Documentary|Drama,Pedro Armendáriz Jr.,Oceans ,7.8,damselfish|ocean habitat|ocean life|razorfish|spider crab,,
505,Peter Hyams,Action|Adventure|Horror|Sci-Fi|Thriller,David Oyelowo,A Sound of Thunder ,4.2,butterfly|hunter|time|time travel|wave,,
506,Paul W.S. Anderson,Action|Adventure|Drama|History|Romance,Sasha Roiz,Pompeii ,5.6,arena|lava bomb|mount vesuvius|pompeii|slave,,
508,Ron Howard,Biography|Drama,Adam Goldberg,A Beautiful Mind ,8.2,conspiracy|cryptography|mathematician|mental illness|nobel prize,,
509,Roger Allers,Adventure|Animation|Drama|Family|Musical,Matthew Broderick,The Lion King ,8.5,king|prince|scar|uncle|unnecessary guilt,,
510,Brad Peyton,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Josh Hutcherson,Journey 2: The Mysterious Island ,5.8,gold|hurricane|island|mountain|mysterious island,,
511,Cody Cameron,Animation|Comedy|Family|Fantasy|Sci-Fi,Will Forte,Cloudy with a Chance of Meatballs 2 ,6.5,food|inventor|island|orangutan|scientist,,
512,Brett Ratner,Crime|Drama|Thriller,Philip Seymour Hoffman,Red Dragon ,7.2,criminal profile|fbi agent|madman|tabloid reporter|tragic villain,,
513,Joe Johnston,Action|Adventure|Western,J.K. Simmons,Hidalgo ,6.7,arab|cowboy|horse|race|sheik,,
514,Dennis Dugan,Comedy,Al Pacino,Jack and Jill ,3.4,advertising|advertising executive|commercial|protective male|twins,,
515,John Singleton,Action|Crime|Thriller,Paul Walker,2 Fast 2 Furious ,5.9,bust|racing|shotgun|street racing|undercover agent,,
516,Mark Osborne,Adventure|Animation|Drama|Family|Fantasy,Jeff Bridges,The Little Prince ,7.8,aviator|based on book|girl|little girl|the little prince,,
517,Oliver Hirschbiegel,Sci-Fi|Thriller,Roger Rees,The Invasion ,5.9,alien|epidemic|psychiatrist|space shuttle|virus,,
518,Des McAnuff,Adventure|Animation|Comedy|Family|Fantasy,Robert De Niro,The Adventures of Rocky & Bullwinkle ,4.1,deforestation|fbi|lighthouse|moose|squirrel,,
519,Yarrow Cheney,Animation|Comedy|Family,Steve Coogan,The Secret Life of Pets ,6.8,animal control|lost animal|mongrel|pet|terrier,,
520,Stephen Norrington,Action|Adventure|Fantasy|Sci-Fi,Jason Flemyng,The League of Extraordinary Gentlemen ,5.8,box office flop|captain nemo|dorian gray|invisible man|steampunk,,
521,Pierre Coffin,Animation|Comedy|Family|Sci-Fi,Steve Carell,Despicable Me 2 ,7.5,dating|minion|overprotective father|undercover spy|woman agent,,
522,Roland Emmerich,Action|Adventure|Sci-Fi,Will Smith,Independence Day ,6.9,alien|area 51|military|spacecraft|spaceship,,
523,Steven Spielberg,Action|Adventure|Sci-Fi,Ariana Richards,The Lost World: Jurassic Park ,6.5,capture|dinosaur|island|jurassic|jurassic park,,
524,Eric Darnell,Adventure|Animation|Comedy|Family,Jada Pinkett Smith,Madagascar ,6.9,escape|jungle|lemur|madagascar|zoo,,
525,Alfonso Cuarón,Drama|Sci-Fi|Thriller,Charlie Hunnam,Children of Men ,7.9,chaos|england|long take|survival|violence,,
526,Bryan Singer,Action|Adventure|Sci-Fi,Hugh Jackman,X-Men ,7.4,first part|mutant|professor|superhero|superhero team,,
527,Timur Bekmambetov,Action|Crime|Fantasy|Thriller,Angelina Jolie Pitt,Wanted ,6.7,assassin|bobble head doll|femme fatale|rejuvenation|strong female lead,,
528,Michael Bay,Action|Adventure|Thriller,Nicolas Cage,The Rock ,7.4,alcatraz|fbi|general|hostage|rocket,,
529,Carlos Saldanha,Action|Adventure|Animation|Comedy|Family|Fantasy,Denis Leary,Ice Age: The Meltdown ,6.9,flood|mammoth|no opening credits|squirrel|valley,,
530,Peter Segal,Comedy|Romance,Adam Sandler,50 First Dates ,6.8,dream|hawaii|hawaiian shirt|short term memory loss|veterinarian,,
531,Adam Shankman,Comedy|Drama|Family|Music|Musical|Romance,Jerry Stiller,Hairspray ,6.7,audition|best friend|dance|friend|tv dance show,,
532,Renny Harlin,Horror|Mystery|Thriller,James D'Arcy,Exorcist: The Beginning ,5.1,archeologist|church|excavation|faith|relic,,
533,David Kellogg,Action|Adventure|Comedy|Family|Sci-Fi,Matthew Broderick,Inspector Gadget ,4.1,actor playing multiple roles|claw|gadget|inspector|police,,
534,Louis Leterrier,Crime|Mystery|Thriller,Morgan Freeman,Now You See Me ,7.3,bank|fbi|heist|interpol|magician,,
535,Dennis Dugan,Comedy,Steve Buscemi,Grown Ups ,6.0,basketball|coach|daughter|high school|high school basketball,,
536,Steven Spielberg,Comedy|Drama,Tom Hanks,The Terminal ,7.3,airport|construction site|fish out of water|flight attendant|man without a country,,
538,Thor Freudenthal,Comedy|Family,Don Cheadle,Hotel for Dogs ,5.4,abandoned hotel|dog|foster home|overalls|playing with a dog,,
539,Martin Campbell,Action|Adventure|Drama|Thriller,Nicholas Lea,Vertical Limit ,5.9,death|die hard scenario|k2|rescue|urination,,
540,Mike Nichols,Biography|Comedy|Drama|History,Philip Seymour Hoffman,Charlie Wilson's War ,7.1,afghanistan|arms dealer|based on true story|cia|texas,,
541,Bibo Bergeron,Adventure|Animation|Comedy|Family,Robert De Niro,Shark Tale ,6.0,anchor|fish|mobster|shark|vegetarian,,
542,Bill Condon,Drama|Music|Musical,Loretta Devine,Dreamgirls ,6.5,1960s|fire|pop chart|singer|trio,,
544,F. Gary Gray,Comedy|Crime|Music,Dwayne Johnson,Be Cool ,5.7,concert|mobster|russian|sequel|widow,,
545,Steven Spielberg,Drama|History|Thriller,Ayelet Zurer,Munich ,7.6,arab|black september|israel|jew|munich olympics,,
546,Antoine Fuqua,Action|Drama|Thriller|War,Bruce Willis,Tears of the Sun ,6.6,dictator|doctor|jungle|rebel|refugee,,
547,Robert Luketic,Action|Comedy|Romance|Thriller,Tom Selleck,Killers ,5.4,hired killer|marriage|neighbor|on the run|store clerk,,
548,Guy Ritchie,Action|Adventure|Comedy,Henry Cavill,The Man from U.N.C.L.E. ,7.3,box office flop|cia agent|criminal organization|kgb agent|nuclear bomb,,
549,James L. Brooks,Comedy|Drama|Romance,Adam Sandler,Spanglish ,6.5,chef|college|housekeeper|letter|mexico,,
550,Gil Kenan,Animation|Comedy|Family|Fantasy|Mystery,Steve Buscemi,Monster House ,6.6,babysitter|halloween|house|neighbor|suburb,,
551,Barry Levinson,Comedy|Crime|Drama|Romance,Bruce Willis,Bandits ,6.6,bank manager|hypochondriac|love triangle|prison|television,,
552,Jerry Zucker,Action|Adventure|Romance|Thriller,Julia Ormond,First Knight ,5.9,battle|king|king arthur|knight|marriage,,
553,Andy Tennant,Drama|History|Romance,Bai Ling,Anna and the King ,6.7,1860s|children|king|schoolteacher|siam,,
554,Tarsem Singh,Action|Drama|Fantasy|Romance,Henry Cavill,Immortals ,6.1,burned alive|castration|olympus|torture|torture device,,
555,Florent-Emilio Siri,Action|Crime|Drama|Mystery|Thriller,Jimmy Bennett,Hostage ,6.6,california|hostage|hostage negotiator|organized crime|police,,
556,Don Bluth,Action|Adventure|Animation|Family|Sci-Fi,Matt Damon,Titan A.E. ,6.6,alien|captain|escape|pilot|scientist,,
557,Ron Shelton,Action|Comedy|Crime|Thriller,Harrison Ford,Hollywood Homicide ,5.3,audition|kissing while having sex|machismo|murder|sex,,
558,Paul W.S. Anderson,Action|Drama|Sci-Fi,Connie Nielsen,Soldier ,6.0,crash survivor|planet|sergeant|soldier|survivor,,
559,David Pastor,Drama|Horror|Sci-Fi|Thriller,Christopher Meloni,Carriers ,6.0,beach|disease|latex gloves|pandemic|virus,,
560,Henry Selick,Animation|Comedy|Fantasy,Brendan Fraser,Monkeybone ,4.7,carnival|coma|death|monkey|nightmare,,
561,John Moore,Action|Adventure|Drama|Thriller,Dennis Quaid,Flight of the Phoenix ,6.1,captain|desert|rescue|stranded|survivor,,
562,M. Night Shyamalan,Drama|Mystery|Sci-Fi|Thriller,Robin Wright,Unbreakable ,7.2,child with gun|comic book|invulnerability|superhero|train crash,,
563,Kyle Balda,Action|Animation|Comedy|Family|Sci-Fi,Steve Carell,Minions ,6.4,antarctica|minion|queen|super villain|villain,,
564,Zack Snyder,Action|Fantasy,Jon Hamm,Sucker Punch ,6.1,alternate reality|escape|girl gang|prostitution|samurai,,
565,Brian De Palma,Crime|Mystery|Thriller,Nicolas Cage,Snake Eyes ,5.9,assassination|boxing|casino|conspiracy|long take,,
566,Barry Levinson,Drama|Mystery|Sci-Fi|Thriller,Peter Coyote,Sphere ,6.0,manifestation|ocean|spacecraft|spaceship|sphere,,
567,Clay Kaytis,Action|Animation|Comedy|Family,Peter Dinklage,The Angry Birds Movie ,6.3,butt|downward duck|fish|kingfisher|pig,,
568,Andy Tennant,Action|Adventure|Comedy|Romance|Thriller,Matthew McConaughey,Fool's Gold ,5.6,debt|rapper|treasure|treasure hunter|yacht,,
569,Judd Apatow,Comedy|Drama,Adam Sandler,Funny People ,6.4,breasts|comedian|craigslist|infidelity|stand up comedian,,
570,Peter Berg,Action|Drama|Thriller,Jennifer Garner,The Kingdom ,7.1,al qaeda|bomb making|fbi|saudi arabia|stabbed in the crotch,,
571,Adam McKay,Action|Comedy|Sport,Will Ferrell,Talladega Nights: The Ballad of Ricky Bobby ,6.6,car racing|french|friend|nascar|racing,,
572,Steve Carr,Comedy|Family|Fantasy,Raven-Symoné,Dr. Dolittle 2 ,4.6,bear|doctor|false accusation|man with glasses|second part,,
573,Mel Gibson,Biography|Drama|History|War,Mhairi Calvey,Braveheart ,8.4,14th century|legend|revolt|scotland|tyranny,,
574,Sam Mendes,Action|Drama|War,Jake Gyllenhaal,Jarhead ,7.1,american abroad|gulf war|u.s. military|u.s. soldier|usmc,,
575,David Silverman,Adventure|Animation|Comedy,Albert Brooks,The Simpsons Movie ,7.4,alaska|dome|lake|pig|the simpsons,,
576,Frank Darabont,Drama|Romance,Martin Landau,The Majestic ,6.9,amnesia|california|communist|small town|writer,,
577,Renny Harlin,Action|Drama|Sport,Sylvester Stallone,Driven ,4.5,car race|german|race car|race car driver|rookie,,
578,Jean-Jacques Annaud,Adventure|Drama|Family,David Gant,Two Brothers ,7.1,circus|death of protagonist|jungle|killing an animal|tiger,,
579,M. Night Shyamalan,Drama|Mystery|Romance|Thriller,Bryce Dallas Howard,The Village ,6.5,creature|pact|plot twist|village|woods,,
580,Betty Thomas,Comedy|Family|Fantasy,Oliver Platt,Doctor Dolittle ,5.3,box office hit|doctor|dog|first part|tiger,,
581,M. Night Shyamalan,Drama|Sci-Fi|Thriller,Rory Culkin,Signs ,6.7,crop circle|faith|farm|glass of water|loss of faith,,
582,Andrew Adamson,Adventure|Animation|Comedy|Family|Fantasy|Romance,Rupert Everett,Shrek 2 ,7.2,drag queen|physical appearance|princess|queen|sequel,,
583,John Lasseter,Adventure|Animation|Comedy|Family|Sport,John Ratzenberger,Cars ,7.2,car|desert|route 66|tow truck|truck,,
584,Garry Marshall,Comedy|Romance,Julia Roberts,Runaway Bride ,5.5,bride|columnist|journalist|maryland|wedding,,
585,Rob Cohen,Action|Adventure|Thriller,Vin Diesel,xXx ,5.8,agent|nsa|nsa agent|prague|russian,,
586,Paul Tibbitt,Adventure|Animation|Comedy|Family|Fantasy,Tim Conway,The SpongeBob Movie: Sponge Out of Water ,6.0,book|magic|pirate|plankton|time machine,,
587,Ron Howard,Crime|Thriller,Lili Taylor,Ransom ,6.6,bounty|fbi|millionaire|money|ransom,,
588,Quentin Tarantino,Adventure|Drama|War,Michael Fassbender,Inglourious Basterds ,8.3,france|german|nazis|revenge|scalping,,
589,Steven Spielberg,Adventure|Comedy|Family|Fantasy,Robin Williams,Hook ,6.7,1990s|caught in a net|children|duel|hero,,
590,Brett Ratner,Action|Adventure,Dwayne Johnson,Hercules ,6.0,army|greek mythology|hercules|king|mercenary,,
591,Renny Harlin,Action|Thriller,Bruce Willis,Die Hard 2 ,7.1,airport|fuel|plane|police|terrorist,,
592,Clark Johnson,Action|Adventure|Crime|Thriller,Jeremy Renner,S.W.A.T. ,6.0,hostage|police|prison|swat team|training,,
594,Cameron Crowe,Fantasy|Mystery|Romance|Sci-Fi|Thriller,Tom Cruise,Vanilla Sky ,6.9,death|dream|love|lynchian|reality,,
595,M. Night Shyamalan,Drama|Fantasy|Mystery|Thriller,Bryce Dallas Howard,Lady in the Water ,5.6,apartment|bedtime story|eagle|stuttering|swimming pool,,
596,Paul W.S. Anderson,Action|Horror|Sci-Fi|Thriller,Sanaa Lathan,AVP: Alien vs. Predator ,5.6,alien|antarctica|predator|pyramid|satellite,,
597,Betty Thomas,Animation|Comedy|Family|Fantasy|Music,Amy Poehler,Alvin and the Chipmunks: The Squeakquel ,4.5,adidas|chipmunk|hospital|school|waste container,,
598,Randall Wallace,Action|Drama|History|War,Jon Hamm,We Were Soldiers ,7.1,air cavalry|battle|major|soldier|vietnamese,,
599,Antoine Fuqua,Action|Thriller,Gerard Butler,Olympus Has Fallen ,6.5,political thriller|politics|president|speaker of the house|u.s. president,,
600,Jonathan Frakes,Action|Adventure|Sci-Fi|Thriller,LeVar Burton,Star Trek: Insurrection ,6.4,alien|captain|commander|conspiracy|planet,,
601,Jonathan Liebesman,Action|Sci-Fi,Noel Fisher,Battle Los Angeles ,5.8,alien|extraterrestrial|invasion|marine|mission,,
602,Tim Burton,Adventure|Drama|Fantasy,Steve Buscemi,Big Fish ,8.0,dog saved from a fire|flashback|growing up|multiple narrators|traveling salesman,,
603,Mike Nichols,Drama|Horror|Romance|Thriller,David Hyde Pierce,Wolf ,6.2,blood|publisher|publishing house|werewolf|wolf,,
604,Steven Spielberg,Drama|War,Jeremy Irvine,War Horse ,7.2,barbed wire|british|cavalry|horse|world war one,,
605,George Clooney,Drama|War,Bill Murray,The Monuments Men ,6.1,art|art expert|nazi stolen art|soldier|world war two,,
606,James Cameron,Adventure|Drama|Sci-Fi|Thriller,Michael Biehn,The Abyss ,7.6,alien|estranged couple|ocean|submarine|underwater,,
607,Oliver Stone,Drama,Frank Langella,Wall Street: Money Never Sleeps ,6.3,corporate greed|crisis|economy|greed|mentor,,
608,Gary Shore,Action|Drama|Fantasy|Horror|War,Dominic Cooper,Dracula Untold ,6.3,death of wife|dracula|tarantula|turk|vampire,,
609,Edward Zwick,Action|Thriller,Denzel Washington,The Siege ,6.3,abduction|martial law|military|new york city|terrorist,,
610,Matthew Vaughn,Adventure|Family|Fantasy|Romance,Henry Cavill,Stardust ,7.7,king|magic|one word title|pirate|village,,
611,Jean-Jacques Annaud,Adventure|Biography|Drama|History|War,Brad Pitt,Seven Years in Tibet ,7.0,austria|dalai lama|himalaya|mountain|tibet,,
612,Ron Howard,Comedy|Drama,Channing Tatum,The Dilemma ,5.3,best friend|friend|investigation|secret|two word title,,
613,Joel Schumacher,Action|Adventure|Comedy|Thriller,Anthony Hopkins,Bad Company ,5.6,cia|cia agent|terrorist|twin|twin brother,,
614,Andrzej Bartkowiak,Action|Adventure|Horror|Sci-Fi,Dwayne Johnson,Doom ,5.2,commando unit|extra chromosome|first person shooter|special forces|teleportation,,
615,Betty Thomas,Action|Adventure|Comedy|Thriller,Gary Cole,I Spy ,5.4,boxer|espionage|spy|stealth|top secret,,
616,Måns Mårlind,Action|Fantasy|Horror,Theo James,Underworld: Awakening ,6.4,battle|cryogenics|detective|scientist|vampire,,
617,Adam Shankman,Comedy|Drama|Musical|Romance,James Martin Kelly,Rock of Ages ,5.9,concert|love|music industry|panties|pole dancer,,
618,Gregory Hoblit,Drama|War,Bruce Willis,Hart's War ,6.3,colonel|honor|lieutenant|pilot|racism,,
619,Gary McKendry,Action|Crime|Thriller,Jason Statham,Killer Elite ,6.5,australia|death|mentor|revenge|secret society,,
620,John McTiernan,Action|Sci-Fi|Sport,LL Cool J,Rollerball ,3.0,ball|blood|skating|song|year 2005,,
621,Wych Kaosayananda,Action|Crime|Sci-Fi|Thriller,Talisa Soto,Ballistic: Ecks vs. Sever ,3.6,blood splatter|camera shot from inside human body|combat|die hard scenario|fbi,,
622,Mikael Salomon,Action|Crime|Drama|Thriller,Morgan Freeman,Hard Rain ,5.8,dam|flood|money|police|sheriff,,
623,Bobby Farrelly,Action|Adventure|Animation|Comedy|Crime|Family|Fantasy,Ron Howard,Osmosis Jones ,6.2,blood|body|egg|virus|white blood cell,,
624,Will Finn,Adventure|Animation|Family|Fantasy|Musical,Lea Michele,Legends of Oz: Dorothy's Return ,5.6,jester|kansas|oz|princess|tornado,,
625,Michael Mann,Action|Crime|Drama|Mystery|Thriller,Chris Hemsworth,Blackhat ,5.4,chinese|computer|cybercrime|hacker|one word title,,
626,Kerry Conran,Action|Adventure|Mystery|Sci-Fi|Thriller,Angelina Jolie Pitt,Sky Captain and the World of Tomorrow ,6.1,captain|pilot|reporter|robot|scientist,,
627,Michael Caton-Jones,Crime|Mystery|Thriller,Charlotte Rampling,Basic Instinct 2 ,4.2,drugs|murder|psychiatrist|scotland yard|sex,,
628,Mikael Håfström,Action|Crime|Mystery|Sci-Fi|Thriller,Sylvester Stallone,Escape Plan ,6.7,cia agent|escape|muslim|prison|ship,,
629,Renny Harlin,Action|Adventure|Fantasy,Roxanne McKee,The Legend of Hercules ,4.2,ancient greece|forbidden love|hercules|king|slavery,,
630,Phil Alden Robinson,Action|Drama|Thriller,Morgan Freeman,The Sum of All Fears ,6.4,analyst|cia|nuclear bomb|nuclear weapons|russia,,
631,David Slade,Adventure|Drama|Fantasy|Romance,Robert Pattinson,The Twilight Saga: Eclipse ,4.9,friendship|graduation|revenge|vampire|werewolf,,
632,Frank Oz,Crime|Drama|Thriller,Robert De Niro,The Score ,6.8,partner|running|scepter|surveillance|thief,,
633,Pierre Coffin,Animation|Comedy|Family,Steve Carell,Despicable Me ,7.7,girl|minion|moon|pyramid|white picket fence,,
634,Joseph Ruben,Action|Comedy|Crime|Drama|Thriller,Vincent Pastore,Money Train ,5.6,bare breasts|breast|loan shark|subway|train,,
635,Seth MacFarlane,Comedy,Liam Neeson,Ted 2 ,6.4,baby|f word|fight|lawyer|marriage,,
636,Alejandro Amenábar,Adventure|Drama|History|Romance,Max Minghella,Agora ,7.2,christian|love|philosophy|prefect|slave,,
637,Kinka Usher,Action|Comedy|Fantasy|Sci-Fi,Janeane Garofalo,Mystery Men ,6.0,bowling|rajah|sphinx|spleen|superhero,,
638,Bobby Farrelly,Comedy|Romance,Jenna Fischer,Hall Pass ,5.9,drugged food|female frontal nudity|male frontal nudity|male nudity|marriage,,
639,Michael Mann,Biography|Drama|Thriller,Al Pacino,The Insider ,7.9,cbs|cbs news|research|tobacco|whistleblower,,
640,Craig Gillespie,Action|Drama|History|Thriller,Michael Raymond-James,The Finest Hours ,6.8,1950s|coast guard|oil tanker|sinking ship|survival,,
641,Ridley Scott,Action|Drama|Thriller,Leonardo DiCaprio,Body of Lies ,7.1,cia|jordan|middle east|spy|terrorist,,
642,Jay Roach,Comedy,Steve Carell,Dinner for Schmucks ,5.9,dinner|diorama|idiot|irs|mouse,,
643,Timur Bekmambetov,Action|Fantasy|Horror,Rufus Sewell,Abraham Lincoln: Vampire Hunter ,5.9,chopping down a tree|hanging upside down|shopkeeper|vampire|vampire hunter,,
644,Jon Amiel,Action|Crime|Romance|Thriller,Will Patton,Entrapment ,6.2,art thief|insurance|mask|master thief|reference to iron maiden,,
646,Rob Bowman,Drama|Mystery|Sci-Fi|Thriller,Martin Landau,The X Files ,7.0,agent|alien|bomb|fbi|government,,
647,Doug Lefler,Action|Adventure|Fantasy|War,Colin Firth,The Last Legion ,5.4,5th century|boy|capri|roman legion|soldier,,
648,Steven Spielberg,Action|Drama|War,Tom Hanks,Saving Private Ryan ,8.6,army|invasion|killed in action|normandy|soldier,,
649,Scott Waugh,Action|Crime|Drama|Thriller,Rami Malek,Need for Speed ,6.5,cross country|custom car|illegal street racing|police officer crushed|street racing,,
650,Nancy Meyers,Comedy|Fantasy|Romance,Judy Greer,What Women Want ,6.4,advertising|battle of the sexes|ex husband ex wife relationship|pantyhose|telepathy,,
651,Chris Wedge,Adventure|Animation|Comedy|Family,Goran Visnjic,Ice Age ,7.6,baby|ice|ice age|sleeping|sloth,,
652,Lawrence Kasdan,Drama|Horror|Sci-Fi|Thriller,Morgan Freeman,Dreamcatcher ,5.5,alien|friend|maine|military|woods,,
653,Steven Spielberg,Biography|Drama|History|War,Joseph Gordon-Levitt,Lincoln ,7.4,cultural conflict|politics|president|slavery|u.s. president,,
654,Lana Wachowski,Action|Sci-Fi,Keanu Reeves,The Matrix ,8.7,artificial reality|computer|matrix|questioning reality|simulated reality,,
655,Ron Howard,Adventure|Drama|History,Tom Hanks,Apollo 13 ,7.6,cape kennedy|news footage|reference to christopher columbus|rocket|trapped in space,,
656,Paul Verhoeven,Action|Sci-Fi,Ronny Cox,Total Recall ,7.5,ambiguous ending|false memory|implanted memory|memory|space colony,,
657,Michael Lembeck,Comedy|Family|Fantasy,Judge Reinhold,The Santa Clause 2 ,5.5,christmas|magic|santa claus|son|toy,,
658,Tom Hooper,Drama|Musical|Romance,Hugh Jackman,Les Misérables ,7.6,barricade|innkeeper|parole|rebellion|student,,
659,Nora Ephron,Comedy|Drama|Romance,Tom Hanks,You've Got Mail ,6.5,bookstore|competing businesses|instant messaging|new york city|shop owner,,
660,Adam McKay,Comedy,Will Ferrell,Step Brothers ,6.9,dream|friendship|karaoke|love|slacker,,
661,Martin Campbell,Action|Adventure|Comedy|Romance|Thriller|Western,Anthony Hopkins,The Mask of Zorro ,6.7,19th century|california|revenge|training|zorro,,
662,Todd Phillips,Comedy|Drama,Robert Downey Jr.,Due Date ,6.6,actor|aspiring actor|birth|misadventure|suitcase,,
663,Angelina Jolie Pitt,Biography|Drama|Sport|War,Finn Wittrock,Unbroken ,7.2,emaciation|male nudity|plane crash|prisoner of war|torture,,
664,Clint Eastwood,Action|Adventure|Thriller,Clint Eastwood,Space Cowboys ,6.4,nasa|old age|satellite|space|space shuttle,,
665,Renny Harlin,Action|Adventure|Thriller,Sylvester Stallone,Cliffhanger ,6.4,money|mountain|rocky mountains|snow|suitcase,,
666,John Woo,Action|Crime|Thriller,Delroy Lindo,Broken Arrow ,6.0,captain|desert|major|park ranger|utah,,
667,Jon Turteltaub,Comedy|Family|Fantasy,Bruce Willis,The Kid ,6.1,altering history|cartoon on tv|childhood|image consultant|one two combo,,
668,Oliver Stone,Drama|History|Thriller,Nicolas Cage,World Trade Center ,6.0,based on true story|police|rescue|rubble|trapped,,
669,Mike Newell,Drama,Julia Roberts,Mona Lisa Smile ,6.4,art|college|school|student|wellesley college,,
670,Larry Charles,Comedy|Romance,Sayed Badreya,The Dictator ,6.4,dictator|hotel|oil|overalls|sunglasses,,
671,Stanley Kubrick,Drama|Mystery|Thriller,Tom Cruise,Eyes Wide Shut ,7.3,doctor|orgy|party|pianist|sexual fantasy,,
672,Will Gluck,Comedy|Drama|Family|Musical,Quvenzhané Wallis,Annie ,5.2,billionaire|business tycoon|mayoral candidate|penthouse|reference to star trek,,
673,Glenn Ficarra,Comedy|Crime|Drama|Romance,Will Smith,Focus ,6.6,con artist|con man|deception|rivalry|seduction,,
674,McG,Action|Comedy|Romance,Tom Hardy,This Means War ,6.3,best friend|cia|cia agent|dating|undercover,,
675,David S. Goyer,Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller,Ryan Reynolds,Blade: Trinity ,5.9,blade|blood|dracula|vampire hunter|vampire slayer,,
676,John Milius,Action|Drama|War,Lea Thompson,Red Dawn ,6.4,guerrilla|high school|invasion|soviet|wolverine,,
677,Mike Nichols,Comedy|Drama,Maura Tierney,Primary Colors ,6.7,campaigning|candidate|election|governor|president,,
678,Paul W.S. Anderson,Action|Horror|Sci-Fi|Thriller,Milla Jovovich,Resident Evil: Retribution ,5.4,corporation|fight|rescue|umbrella|zombie,,
679,Paul W.S. Anderson,Action|Sci-Fi|Thriller,Jason Statham,Death Race ,6.4,armored car|car|murder|prison|warden,,
680,Renny Harlin,Action|Crime|Drama|Mystery|Thriller,Melina Kanakaredes,The Long Kiss Goodnight ,6.7,amnesia|chase|foot chase|strong female character|vomiting,,
